,points,province,variety
39901,87,Catalonia,Sparkling Blend
39913,84,Levante,Sparkling Blend
39914,84,Central Spain,Rosé
39921,84,Northern Spain,Tempranillo
39934,84,Northern Spain,Tempranillo Blend
39973,84,Northern Spain,Tempranillo Blend
39979,84,Northern Spain,Tempranillo Blend
39982,84,Northern Spain,Tempranillo Blend
39986,84,Northern Spain,Tempranillo
39987,84,Northern Spain,Tempranillo Blend
39995,84,Northern Spain,Rosé
40036,87,Northern Spain,Rosé
40050,87,Northern Spain,Rosé
40137,87,Catalonia,Sparkling Blend
40164,91,Catalonia,Sparkling Blend
40178,89,Northern Spain,Tempranillo
40189,88,Galicia,Albariño
40264,91,Northern Spain,Tempranillo
40277,92,Spanish Islands,Red Blend
40283,92,Northern Spain,Tempranillo
40291,92,Northern Spain,Tinta de Toro
40293,92,Northern Spain,Tempranillo
40299,81,Catalonia,Sparkling Blend
40300,81,Spain Other,Moscato
40303,80,Catalonia,Sparkling Blend
40307,98,Northern Spain,Tinto Fino
40310,96,Northern Spain,Tinto Fino
40455,85,Central Spain,Macabeo-Moscatel
40456,85,Levante,Red Blend
40458,85,Northern Spain,White Blend
40522,89,Northern Spain,Tempranillo
40540,89,Northern Spain,Red Blend
40581,90,Catalonia,Red Blend
40606,90,Northern Spain,Tempranillo
40608,90,Northern Spain,Cabernet Sauvignon
40629,89,Northern Spain,Tempranillo
40646,93,Andalucia,Pedro Ximénez
40658,92,Northern Spain,Tempranillo
40670,85,Spain Other,Garnacha Blanca
40673,85,Catalonia,Cabernet Sauvignon-Tempranillo
40766,82,Northern Spain,Garnacha
40810,90,Northern Spain,Tempranillo Blend
40979,86,Northern Spain,White Blend
40992,86,Northern Spain,Viura
41014,86,Catalonia,Sparkling Blend
41027,89,Catalonia,Red Blend
41051,89,Catalonia,Red Blend
41156,89,Northern Spain,Tempranillo Blend
41191,91,Northern Spain,Tempranillo Blend
41252,91,Northern Spain,Tempranillo Blend
41253,91,Northern Spain,Tinta de Toro
41261,91,Andalucia,Sherry
41378,86,Catalonia,Sparkling Blend
41391,94,Northern Spain,Tinto Fino
41392,94,Northern Spain,Tempranillo
41404,94,Northern Spain,Tinta de Toro
41414,94,Northern Spain,Tinto Fino
41598,88,Catalonia,Red Blend
41603,88,Catalonia,Trepat
41605,88,Northern Spain,Mencía
41673,90,Galicia,Godello
41676,90,Northern Spain,Tempranillo Blend
41685,89,Northern Spain,Graciano
41735,88,Andalucia,Sherry
41739,88,Northern Spain,Tempranillo
41742,88,Catalonia,Pinot Noir
41810,88,Northern Spain,Tempranillo
41886,85,Catalonia,Sparkling Blend
41898,90,Levante,Red Blend
41921,89,Northern Spain,Tempranillo Blend
41967,91,Andalucia,Pedro Ximénez
41994,87,Catalonia,Sparkling Blend
42111,83,Catalonia,Sparkling Blend
42117,82,Catalonia,Sparkling Blend
42244,89,Northern Spain,Tempranillo
42269,86,Northern Spain,Cabernet Sauvignon-Tempranillo
42336,90,Catalonia,Sparkling Blend
42344,90,Catalonia,Sparkling Blend
42454,88,Northern Spain,Red Blend
42455,88,Northern Spain,White Blend
42457,88,Northern Spain,Verdejo
42512,85,Galicia,Albariño
42527,90,Northern Spain,Tempranillo
42528,90,Northern Spain,Tempranillo Blend
42606,89,Northern Spain,Tempranillo
42611,89,Galicia,Mencía
42637,87,Northern Spain,Garnacha
42643,87,Catalonia,Sparkling Blend
42645,86,Northern Spain,White Blend
42648,86,Catalonia,Sparkling Blend
42660,87,Northern Spain,Tempranillo
42687,84,Northern Spain,Tempranillo
42691,84,Northern Spain,Tempranillo Blend
42697,83,Northern Spain,Tempranillo
42709,92,Northern Spain,Tempranillo
42737,92,Northern Spain,Tempranillo
42775,82,Northern Spain,Verdejo
42786,82,Central Spain,Tempranillo
42835,89,Northern Spain,Tinta Fina
42848,87,Northern Spain,Godello
42879,89,Northern Spain,Tempranillo
42891,89,Northern Spain,Garnacha
42903,81,Northern Spain,Garnacha
42912,80,Northern Spain,Verdejo
42929,87,Northern Spain,Garnacha
42930,87,Catalonia,White Blend
42934,87,Northern Spain,Verdejo
42935,87,Northern Spain,Verdejo-Sauvignon Blanc
42940,87,Levante,Monastrell
42941,87,Northern Spain,Garnacha
42945,87,Northern Spain,Tempranillo Blend
42946,87,Catalonia,Carineña
42953,87,Northern Spain,Red Blend
42970,87,Northern Spain,Tempranillo Blend
42975,93,Northern Spain,Tempranillo Blend
43128,87,Catalonia,Pinot Noir
43131,87,Catalonia,Sparkling Blend
43134,87,Northern Spain,Tempranillo Blend
43139,87,Catalonia,Sparkling Blend
43205,92,Northern Spain,Tempranillo
43213,92,Andalucia,Sherry
43266,85,Catalonia,Sparkling Blend
43288,84,Northern Spain,Garnacha
43289,84,Northern Spain,Viura
43309,84,Northern Spain,Tempranillo
43373,84,Northern Spain,Verdejo
43384,83,Northern Spain,Tempranillo
43389,83,Catalonia,Paralleda
43407,89,Northern Spain,Garnacha
43409,89,Northern Spain,Tempranillo
43484,90,Northern Spain,Tempranillo Blend
43635,96,Northern Spain,Tempranillo Blend
43649,95,Northern Spain,Tempranillo Blend
43660,94,Northern Spain,Tempranillo Blend
43722,88,Northern Spain,Red Blend
43727,88,Catalonia,Red Blend
43728,88,Northern Spain,Tinto Fino
43756,88,Catalonia,Sparkling Blend
43773,88,Catalonia,Pinot Noir
43882,87,Catalonia,Sparkling Blend
43904,93,Northern Spain,Tempranillo
43911,93,Northern Spain,Tempranillo
43917,93,Northern Spain,Tempranillo
43954,87,Northern Spain,Tempranillo
43963,91,Northern Spain,Tempranillo Blend
43964,91,Northern Spain,Tempranillo
43965,91,Northern Spain,Tempranillo Blend
43966,91,Northern Spain,Tempranillo
43969,91,Northern Spain,Tempranillo
43986,82,Northern Spain,Maturana
43991,81,Central Spain,Malvar
43994,80,Central Spain,Tempranillo
43995,80,Northern Spain,Malvasia
43996,80,Central Spain,Airen
44074,86,Catalonia,Sparkling Blend
44177,85,Catalonia,Red Blend
44183,85,Northern Spain,Red Blend
44184,85,Northern Spain,Tempranillo
44235,93,Catalonia,Carignan
44250,92,Northern Spain,Tinta de Toro
44348,93,Northern Spain,Tempranillo Blend
44381,87,Central Spain,Sparkling Blend
44500,88,Northern Spain,Tempranillo
44501,88,Northern Spain,Tempranillo-Cabernet Sauvignon
44549,87,Catalonia,Sparkling Blend
44573,87,Northern Spain,Tempranillo Blend
44575,95,Andalucia,Pedro Ximénez
44728,88,Northern Spain,Mencía
44767,93,Catalonia,Red Blend
44891,86,Northern Spain,Verdejo
44981,82,Catalonia,Sparkling Blend
44990,80,Levante,Red Blend
44992,80,Catalonia,Sparkling Blend
44993,80,Catalonia,Sparkling Blend
45013,94,Northern Spain,Tinto Fino
45020,94,Northern Spain,Tempranillo
45023,94,Northern Spain,Tinto Fino
45024,94,Northern Spain,Tinta de Toro
45044,91,Northern Spain,Red Blend
45047,91,Andalucia,Pedro Ximénez
45128,90,Galicia,Albariño
45148,86,Northern Spain,Tempranillo
45149,86,Northern Spain,Tempranillo
45153,86,Northern Spain,Tempranillo
45161,85,Northern Spain,Tinta Fina
45165,85,Northern Spain,Rosé
45166,85,Levante,Red Blend
45198,84,Central Spain,Tempranillo Blend
45202,84,Northern Spain,White Blend
45205,84,Spanish Islands,White Blend
45261,89,Northern Spain,Tempranillo Blend
45305,88,Catalonia,Sparkling Blend
45337,93,Northern Spain,Tempranillo Blend
45356,92,Northern Spain,Tinta de Toro
45364,88,Northern Spain,Tempranillo
45419,92,Northern Spain,Tempranillo
45468,93,Northern Spain,Tempranillo
45513,85,Northern Spain,Tempranillo
45521,85,Levante,Monastrell
45526,85,Andalucia,Sherry
45528,85,Northern Spain,Tempranillo Blend
45566,82,Northern Spain,Tempranillo Blend
45569,81,Levante,Red Blend
45572,81,Levante,Tempranillo-Cabernet Sauvignon
45602,87,Central Spain,Bordeaux-style Red Blend
45609,87,Catalonia,Red Blend
45671,88,Northern Spain,Tempranillo
45679,88,Galicia,Albariño
45680,88,Northern Spain,Godello
45726,90,Catalonia,Sparkling Blend
45754,84,Northern Spain,Tinto del Pais
45776,82,Northern Spain,Tempranillo
45826,84,Northern Spain,Verdejo
45832,84,Central Spain,Cabernet Sauvignon
45839,84,Central Spain,Moscatel
45852,84,Levante,Red Blend
45853,84,Central Spain,Tempranillo
46044,85,Central Spain,White Blend
46107,93,Northern Spain,Tempranillo
46198,89,Northern Spain,Malvasia-Viura
46231,85,Northern Spain,Garnacha
46237,86,Northern Spain,Grenache
46259,86,Central Spain,Garnacha
46261,86,Catalonia,Sparkling Blend
46275,86,Northern Spain,Tempranillo Blend
46333,88,Northern Spain,Tempranillo
46334,88,Northern Spain,Tempranillo Blend
46425,92,Northern Spain,Tempranillo
46430,92,Levante,Monastrell
46441,89,Catalonia,Red Blend
46457,89,Northern Spain,Tempranillo Blend
46486,91,Northern Spain,Tempranillo Blend
46558,85,Northern Spain,Garnacha
46575,85,Northern Spain,Viura
46582,92,Northern Spain,Tempranillo
46714,91,Northern Spain,Tempranillo
46730,90,Northern Spain,Tempranillo
46731,90,Northern Spain,Tinta Fina
46869,94,Northern Spain,Tinto Fino
46928,88,Central Spain,Red Blend
46997,86,Andalucia,Sherry
47009,88,Northern Spain,White Blend
47012,88,Northern Spain,Rosé
47013,88,Galicia,Albariño
47015,88,Catalonia,Sparkling Blend
47097,85,Northern Spain,Garnacha
47218,89,Northern Spain,Tempranillo Blend
47230,89,Northern Spain,Tempranillo
47236,89,Catalonia,Sparkling Blend
47248,84,Levante,Tempranillo-Cabernet Sauvignon
47270,84,Levante,Red Blend
47377,93,Northern Spain,Tempranillo Blend
47402,87,Northern Spain,Tinta de Toro
47407,87,Northern Spain,Mencía
47408,87,Northern Spain,Mencía
47568,88,Central Spain,Syrah
47582,88,Northern Spain,Tempranillo Blend
47619,87,Central Spain,Garnacha-Monastrell
47621,87,Northern Spain,Mencía
47626,87,Central Spain,Tempranillo
47628,87,Northern Spain,Mencía
47631,87,Northern Spain,Verdejo
47633,87,Galicia,Albariño
47636,87,Northern Spain,Tempranillo Blend
47638,87,Andalucia,Sherry
47663,91,Catalonia,Sparkling Blend
47676,89,Catalonia,Red Blend
47727,92,Galicia,Mencía
47747,87,Andalucia,Sherry
47766,87,Central Spain,Tempranillo
47775,87,Northern Spain,Tempranillo-Cabernet Sauvignon
47778,87,Northern Spain,Verdejo
47789,88,Northern Spain,Tempranillo
47823,89,Catalonia,Sparkling Blend
47824,89,Catalonia,Red Blend
47830,89,Northern Spain,Verdejo
47832,89,Northern Spain,Tempranillo
47880,88,Andalucia,Moscatel
47881,88,Levante,Garnacha
47888,88,Northern Spain,Verdejo
47921,94,Northern Spain,Tempranillo Blend
47946,88,Catalonia,Red Blend
47965,87,Catalonia,Sparkling Blend
47969,87,Northern Spain,Tempranillo
47970,87,Northern Spain,Prieto Picudo
47981,88,Northern Spain,Tempranillo Blend
47990,88,Northern Spain,Tempranillo
48013,87,Northern Spain,Tempranillo
48118,89,Northern Spain,Garnacha
48169,90,Galicia,Albariño
48175,90,Northern Spain,Tempranillo
48180,90,Catalonia,Red Blend
48185,90,Catalonia,Red Blend
48244,92,Northern Spain,Tempranillo
48300,85,Northern Spain,Garnacha
48316,85,Northern Spain,Garnacha
48323,90,Northern Spain,Tempranillo
48358,82,Central Spain,Tempranillo-Shiraz
48361,82,Northern Spain,Tinta de Toro
48366,82,Catalonia,Red Blend
48460,88,Northern Spain,Grenache
48567,93,Northern Spain,Tempranillo
48578,85,Catalonia,Red Blend
48582,85,Northern Spain,Tempranillo
48588,85,Central Spain,Garnacha
48589,85,Catalonia,Red Blend
48598,84,Northern Spain,Verdejo
48669,92,Catalonia,Red Blend
48672,92,Northern Spain,Mencía
48673,92,Northern Spain,Tempranillo
48687,84,Central Spain,Tempranillo
48854,83,Spain Other,Sparkling Blend
48864,83,Catalonia,Sparkling Blend
48905,95,Northern Spain,Tempranillo Blend
48909,95,Catalonia,Red Blend
48910,87,Northern Spain,Viura
48922,87,Northern Spain,Tempranillo
48936,87,Northern Spain,Garnacha
48939,87,Northern Spain,Tempranillo
48976,82,Levante,Tempranillo
48984,82,Central Spain,Tempranillo
49012,89,Catalonia,Trepat
49129,84,Northern Spain,Red Blend
49133,84,Northern Spain,Garnacha
49139,84,Central Spain,Tempranillo
49150,84,Central Spain,Tempranillo
49176,86,Northern Spain,Red Blend
49183,92,Northern Spain,Tempranillo Blend
49198,92,Northern Spain,Prieto Picudo
49281,92,Andalucia,Sherry
49287,92,Northern Spain,Tempranillo
49301,90,Northern Spain,Tempranillo Blend
49371,83,Northern Spain,Garnacha
49374,83,Northern Spain,White Blend
49377,83,Northern Spain,Tempranillo
49378,83,Catalonia,Red Blend
49380,83,Northern Spain,Verdejo
49381,83,Levante,Tempranillo
49388,82,Northern Spain,Mencía
49390,82,Levante,Tempranillo-Cabernet Sauvignon
49393,82,Northern Spain,Verdejo
49395,82,Catalonia,Red Blend
49396,82,Northern Spain,Garnacha
49397,82,Central Spain,Tempranillo
49398,82,Central Spain,Tempranillo
49399,82,Catalonia,Red Blend
49434,92,Northern Spain,Tempranillo Blend
49446,91,Andalucia,Pedro Ximénez
49455,91,Northern Spain,Tempranillo
49486,92,Northern Spain,Tempranillo Blend
49556,91,Andalucia,Pedro Ximénez
49616,90,Levante,Cabernet Blend
49625,82,Northern Spain,Tempranillo Blend
49804,91,Northern Spain,Tempranillo Blend
49952,93,Central Spain,Red Blend
50003,90,Andalucia,Sherry
50016,85,Central Spain,Viura
50023,85,Central Spain,Tempranillo-Cabernet Sauvignon
50025,85,Central Spain,Verdejo
50040,87,Northern Spain,Tempranillo
50051,87,Northern Spain,Tempranillo
50052,87,Catalonia,Syrah
50104,89,Galicia,Albariño
50227,87,Northern Spain,Red Blend
50301,84,Northern Spain,Tempranillo
50312,83,Northern Spain,Tempranillo
50324,91,Northern Spain,Tempranillo Blend
50335,91,Northern Spain,Tempranillo Blend
50341,91,Northern Spain,Tinto del Pais
50366,92,Northern Spain,Tempranillo
50389,86,Northern Spain,Tempranillo
50390,86,Northern Spain,Tempranillo
50395,86,Catalonia,Sparkling Blend
50398,86,Northern Spain,Tempranillo
50412,87,Andalucia,Sherry
50414,87,Northern Spain,Tempranillo
50419,87,Northern Spain,Tempranillo Blend
50420,87,Levante,Monastrell
50439,86,Catalonia,Sparkling Blend
50466,87,Andalucia,Sherry
50470,87,Central Spain,Red Blend
50472,86,Northern Spain,Verdejo
50480,86,Spanish Islands,Red Blend
50481,86,Catalonia,Red Blend
50482,86,Northern Spain,Tempranillo
50517,89,Northern Spain,Mencía
50548,91,Central Spain,Petit Verdot
50558,91,Catalonia,Red Blend
50565,90,Northern Spain,Tempranillo
50571,90,Spanish Islands,Red Blend
50658,90,Catalonia,Sparkling Blend
50661,90,Catalonia,Sparkling Blend
50703,93,Northern Spain,Tempranillo
50784,86,Northern Spain,Tempranillo
50786,86,Northern Spain,Verdejo
50795,86,Catalonia,Sparkling Blend
50796,86,Northern Spain,Verdejo
50972,85,Catalonia,Rosé
50985,85,Northern Spain,Garnacha-Monastrell
50986,85,Northern Spain,Verdejo
51020,92,Northern Spain,Mencía
51055,92,Northern Spain,Tempranillo
51131,85,Northern Spain,Tempranillo
51135,85,Levante,Monastrell
51225,84,Galicia,Mencía
51234,83,Northern Spain,Chardonnay
51236,83,Northern Spain,Garnacha
51237,83,Northern Spain,Red Blend
51240,83,Central Spain,Sauvignon Blanc-Verdejo
51245,83,Northern Spain,Verdejo-Sauvignon Blanc
51302,86,Northern Spain,Viura
51443,88,Northern Spain,Tempranillo Blend
51495,91,Northern Spain,Tempranillo Blend
51519,84,Northern Spain,Tempranillo Blend
51521,84,Northern Spain,Tempranillo
51522,84,Northern Spain,Bordeaux-style Red Blend
51524,86,Northern Spain,Tempranillo
51527,86,Northern Spain,Tempranillo
51543,91,Northern Spain,Mencía
51549,90,Catalonia,Red Blend
51551,90,Catalonia,Red Blend
51558,90,Northern Spain,Tempranillo
51583,90,Galicia,Albariño
51590,90,Central Spain,Red Blend
51655,89,Northern Spain,Tempranillo Blend
51661,89,Northern Spain,Tempranillo
51675,89,Northern Spain,Tempranillo
51678,89,Northern Spain,Tempranillo Blend
51699,86,Catalonia,Red Blend
51806,86,Catalonia,Sparkling Blend
51836,89,Catalonia,Sparkling Blend
51840,89,Northern Spain,Tempranillo
51873,93,Northern Spain,Tempranillo Blend
51884,94,Northern Spain,Tempranillo
51887,94,Northern Spain,Tinto Fino
51897,93,Northern Spain,Tempranillo
51898,93,Andalucia,Pedro Ximénez
51902,93,Northern Spain,Tempranillo
52063,83,Northern Spain,Tempranillo
52073,82,Northern Spain,Tempranillo-Garnacha
52075,82,Northern Spain,Macabeo
52221,88,Northern Spain,Tempranillo
52238,87,Northern Spain,Tempranillo
52240,87,Northern Spain,Viura
52336,87,Northern Spain,Tempranillo
52362,88,Catalonia,Sparkling Blend
52449,90,Northern Spain,Tempranillo Blend
52457,91,Northern Spain,Tempranillo
52469,91,Northern Spain,Tinta de Toro
52473,90,Northern Spain,Tempranillo
52478,90,Northern Spain,Tempranillo
52515,88,Catalonia,Red Blend
52523,87,Catalonia,Sparkling Blend
52524,87,Northern Spain,Tempranillo
52579,86,Northern Spain,Tinto Fino
52603,90,Northern Spain,Tinta Fina
52623,89,Northern Spain,Tinta de Toro
52624,89,Levante,Monastrell
52790,93,Northern Spain,Tempranillo
52825,89,Northern Spain,Tempranillo
52837,89,Northern Spain,Tempranillo
52866,92,Northern Spain,Tempranillo Blend
52945,88,Northern Spain,Tempranillo Blend
52946,88,Catalonia,Red Blend
52959,87,Northern Spain,Viura
52972,91,Northern Spain,Mencía
52979,91,Andalucia,Sherry
53083,89,Northern Spain,Tempranillo Blend
53151,87,Northern Spain,Tinto del Pais
53152,87,Catalonia,Sparkling Blend
53163,86,Northern Spain,Tempranillo
53259,83,Catalonia,Sparkling Blend
53263,83,Northern Spain,Red Blend
53267,83,Levante,Red Blend
53273,82,Catalonia,Sparkling Blend
53275,82,Northern Spain,Rosé
53276,82,Northern Spain,Tempranillo
53277,82,Northern Spain,Garnacha
53377,88,Northern Spain,Red Blend
53382,88,Northern Spain,Red Blend
53402,90,Catalonia,Red Blend
53467,87,Northern Spain,Tempranillo
53477,87,Spain Other,Cabernet Sauvignon
53518,88,Catalonia,Champagne Blend
53531,89,Northern Spain,Tempranillo Blend
53534,89,Northern Spain,Tempranillo
53536,89,Central Spain,Syrah
53537,89,Northern Spain,Tempranillo Blend
53554,89,Northern Spain,Tempranillo
53560,89,Levante,Monastrell
53615,89,Galicia,Red Blend
53635,89,Levante,Garnacha Tintorera
53685,88,Northern Spain,Tempranillo Blend
53697,90,Northern Spain,Tempranillo
53740,91,Catalonia,Red Blend
53752,90,Northern Spain,Tempranillo Blend
53829,84,Catalonia,Sparkling Blend
53838,84,Northern Spain,Tempranillo Blend
53849,84,Northern Spain,Tempranillo
53924,88,Galicia,Albariño
53932,88,Catalonia,White Blend
53933,88,Northern Spain,Mencía
53947,88,Northern Spain,Tempranillo Blend
53967,90,Central Spain,Cabernet Sauvignon-Syrah
53991,82,Central Spain,Rosé
54076,85,Central Spain,Tempranillo
54080,85,Northern Spain,Tempranillo
54086,83,Catalonia,Pinot Noir
54093,83,Northern Spain,Tempranillo-Cabernet Sauvignon
54094,83,Northern Spain,Tempranillo
54096,83,Northern Spain,Red Blend
54098,83,Central Spain,Tempranillo
54102,83,Northern Spain,Tempranillo Blend
54109,83,Northern Spain,Garnacha
54111,83,Central Spain,Airen
54113,83,Northern Spain,Tempranillo Blend
54114,83,Northern Spain,Tempranillo
54171,90,Andalucia,Sherry
54173,90,Catalonia,Sparkling Blend
54205,93,Northern Spain,Tempranillo
54249,96,Catalonia,Red Blend
54281,88,Catalonia,Sparkling Blend
54287,88,Catalonia,Cabernet Sauvignon-Tempranillo
54333,90,Catalonia,Red Blend
54337,90,Catalonia,Red Blend
54341,90,Central Spain,Syrah
54351,88,Northern Spain,Tempranillo Blend
54358,88,Northern Spain,Tempranillo
54376,88,Northern Spain,Red Blend
54377,88,Catalonia,Red Blend
54424,88,Catalonia,Garnacha Blanca
54442,87,Northern Spain,Mazuelo
54452,87,Northern Spain,Maturana
54459,86,Levante,Monastrell
54462,86,Catalonia,Cabernet Sauvignon
54498,90,Northern Spain,Tempranillo
54506,90,Northern Spain,Tempranillo
54534,90,Northern Spain,Tinta de Toro
54555,88,Northern Spain,Verdejo-Viura
54561,88,Northern Spain,Tempranillo Blend
54605,84,Northern Spain,Tempranillo Blend
54611,90,Northern Spain,Tinta de Toro
54618,90,Northern Spain,Red Blend
54640,86,Northern Spain,Tempranillo
54646,86,Northern Spain,Red Blend
54647,86,Levante,Cabernet Sauvignon-Tempranillo
54651,86,Northern Spain,Tempranillo
54748,94,Andalucia,Pedro Ximénez
54770,92,Northern Spain,Tempranillo Blend
54779,92,Catalonia,Red Blend
54825,85,Northern Spain,Red Blend
54829,85,Northern Spain,Tempranillo Blend
54836,85,Catalonia,Sparkling Blend
54845,85,Northern Spain,Tempranillo Blend
54846,85,Central Spain,Tempranillo
54847,85,Central Spain,Tempranillo
54848,85,Spain Other,Red Blend
54873,93,Northern Spain,Tempranillo Blend
54874,93,Northern Spain,Mencía
55103,85,Northern Spain,Red Blend
55163,87,Catalonia,Sparkling Blend
55333,87,Catalonia,Sparkling Blend
55352,91,Central Spain,Red Blend
55356,91,Spanish Islands,Red Blend
55359,91,Central Spain,Petit Verdot
55360,91,Northern Spain,Viura
55410,87,Northern Spain,Tinto Fino
55418,87,Northern Spain,White Blend
55421,86,Northern Spain,White Blend
55494,92,Catalonia,Red Blend
55500,92,Northern Spain,Tempranillo
55546,88,Northern Spain,Red Blend
55552,88,Catalonia,Sparkling Blend
55554,88,Catalonia,Cabernet Sauvignon
55557,88,Galicia,White Blend
55558,88,Catalonia,Sparkling Blend
55618,88,Northern Spain,Tempranillo
55681,84,Northern Spain,Tempranillo Blend
55688,84,Galicia,Albariño
55689,84,Catalonia,Sparkling Blend
55699,84,Catalonia,Sparkling Blend
55709,81,Northern Spain,Red Blend
55798,89,Catalonia,Sparkling Blend
55898,87,Levante,Red Blend
55902,87,Northern Spain,Tempranillo
55908,87,Northern Spain,Verdejo
55912,87,Northern Spain,Tempranillo
55913,87,Central Spain,Tempranillo
55938,91,Northern Spain,Verdejo
55939,91,Northern Spain,Tinta de Toro
55951,91,Catalonia,Cabernet Sauvignon-Merlot
55954,91,Northern Spain,Tempranillo Blend
55967,88,Northern Spain,Tempranillo
55972,88,Northern Spain,Tempranillo Blend
55996,92,Northern Spain,Tempranillo
56019,83,Central Spain,Tempranillo
56026,82,Catalonia,Red Blend
56027,82,Northern Spain,Tempranillo
56028,82,Northern Spain,Mencía
56032,82,Northern Spain,Viura-Chardonnay
56037,81,Northern Spain,Viura-Chardonnay
56042,80,Northern Spain,Tempranillo Blend
56081,90,Andalucia,Red Blend
56082,90,Andalucia,Red Blend
56109,89,Catalonia,Sparkling Blend
56117,89,Catalonia,Sparkling Blend
56145,89,Northern Spain,Tempranillo
56151,89,Northern Spain,Tempranillo Blend
56157,89,Northern Spain,Tempranillo
56174,81,Northern Spain,Tempranillo Blend
56175,81,Northern Spain,Garnacha
56179,81,Northern Spain,Viura
56183,81,Central Spain,Viura
56184,80,Northern Spain,Garnacha Blanca
56188,80,Northern Spain,White Blend
56408,91,Northern Spain,Tempranillo
56418,91,Northern Spain,Tempranillo Blend
56465,93,Catalonia,Red Blend
56489,93,Catalonia,Red Blend
56545,87,Catalonia,Cabernet Blend
56558,88,Catalonia,Sparkling Blend
56566,88,Northern Spain,Tinta de Toro
56635,90,Catalonia,Red Blend
56686,91,Levante,Red Blend
56790,89,Levante,Red Blend
56820,91,Northern Spain,Tempranillo
56885,86,Northern Spain,Garnacha
56962,96,Northern Spain,Tempranillo
56974,91,Northern Spain,Tinto Fino
56997,88,Northern Spain,Verdejo
57000,88,Northern Spain,Godello
57002,88,Northern Spain,Tempranillo
57068,89,Northern Spain,White Blend
57112,90,Catalonia,Red Blend
57171,83,Northern Spain,Tempranillo
57181,83,Galicia,Albariño
57187,83,Northern Spain,Grenache
57189,83,Northern Spain,Tempranillo
57198,90,Northern Spain,Tempranillo Blend
57217,90,Central Spain,Red Blend
57265,83,Northern Spain,Tempranillo
57331,85,Northern Spain,Verdejo
57333,85,Central Spain,Tempranillo
57337,85,Catalonia,Sparkling Blend
57355,85,Central Spain,Red Blend
57366,90,Northern Spain,Mencía
57396,88,Northern Spain,Viura
57410,88,Northern Spain,Red Blend
57414,88,Northern Spain,Red Blend
57417,88,Levante,Monastrell
57419,88,Northern Spain,Garnacha
57421,88,Northern Spain,Verdejo
57423,88,Catalonia,Red Blend
57424,88,Central Spain,Red Blend
57428,88,Northern Spain,Tempranillo
57429,88,Northern Spain,Mencía
57478,86,Central Spain,Red Blend
57485,86,Northern Spain,Tinto Fino
57509,87,Catalonia,Sparkling Blend
57530,88,Northern Spain,Tempranillo Blend
57570,93,Northern Spain,Mencía
57576,93,Northern Spain,Mencía
57589,93,Northern Spain,Mencía
57625,92,Catalonia,Red Blend
57626,92,Northern Spain,Tempranillo
57641,92,Northern Spain,Tinto del Pais
57644,92,Northern Spain,Tempranillo
57655,87,Levante,Bobal
57774,88,Central Spain,Tempranillo
57775,88,Northern Spain,Garnacha
57865,94,Northern Spain,Tempranillo
57867,93,Northern Spain,Tempranillo
57881,93,Levante,Red Blend
57897,89,Northern Spain,Tempranillo
57953,87,Northern Spain,Tempranillo
58097,92,Andalucia,Sherry
58270,86,Northern Spain,Tempranillo
58456,91,Northern Spain,Tempranillo
58640,89,Northern Spain,Garnacha Blanca
58694,83,Northern Spain,Red Blend
58696,83,Central Spain,Cabernet Sauvignon
58788,91,Northern Spain,Tempranillo Blend
58809,86,Catalonia,Sparkling Blend
58895,93,Northern Spain,Tempranillo
58921,88,Northern Spain,Tempranillo
58933,88,Northern Spain,Tempranillo
59018,91,Catalonia,Red Blend
59059,84,Northern Spain,Tempranillo
59088,87,Northern Spain,Tempranillo Blend
59092,87,Levante,Bobal
59131,85,Catalonia,Red Blend
59135,85,Northern Spain,Tempranillo Blend
59145,85,Northern Spain,Tempranillo-Garnacha
59155,84,Northern Spain,Tempranillo Blend
59163,84,Northern Spain,Red Blend
59179,84,Northern Spain,Red Blend
59237,87,Northern Spain,Mencía
59286,94,Catalonia,Red Blend
59287,94,Northern Spain,Tempranillo
59334,89,Levante,Bobal
59415,94,Catalonia,Red Blend
59426,85,Central Spain,Tempranillo
59428,85,Northern Spain,Tinta de Toro
59429,85,Northern Spain,Tempranillo
59434,85,Northern Spain,Tempranillo
59439,85,Northern Spain,Tempranillo
59562,87,Northern Spain,Grenache-Syrah
59570,87,Northern Spain,Tempranillo
59574,87,Northern Spain,Rosé
59593,86,Levante,Red Blend
59617,88,Northern Spain,Red Blend
59635,88,Northern Spain,Viura
59666,84,Catalonia,Sparkling Blend
59706,93,Galicia,White Blend
59711,93,Northern Spain,Mencía
59803,93,Northern Spain,Syrah
59804,93,Northern Spain,Tinta de Toro
59808,93,Northern Spain,Tempranillo
59811,93,Northern Spain,Tinta de Toro
59866,92,Northern Spain,Tempranillo Blend
59906,92,Catalonia,Red Blend
59916,92,Northern Spain,Tempranillo
59937,88,Northern Spain,Viura
60059,92,Northern Spain,Tempranillo
60153,84,Central Spain,Verdejo
60182,88,Northern Spain,Red Blend
60193,88,Northern Spain,Tempranillo Blend
60273,90,Northern Spain,Tinta de Toro
60333,89,Galicia,Albariño
60342,89,Galicia,Albariño
60508,84,Northern Spain,Tempranillo
60515,89,Northern Spain,Tempranillo
60529,89,Northern Spain,Tempranillo Blend
60543,89,Galicia,White Blend
60546,89,Northern Spain,Tinta de Toro
60550,89,Northern Spain,Tempranillo
